Unnamed: 0,observation_date,CPIAUCSL,CPILFESL,UNRATE,DCOILWTICO,VIXCLS,DTWEXBGS,GOLD,MOVE,SP500,Open,High,Low,GS10,FEDFUNDS,Date,SMA_10,SMA_50,EMA_10,EMA_50,ROC_10,RSI_14,BB_upper,BB_lower,Volatility_20
61,2016-06-03,240.222,247.54,4.9,48.69,13.47,111.4451,1211.9,66.8,2099.13,2104.07,2104.07,2085.36,1.64,0.38,2016-06-03,2071.225,2024.3113999999998,2063.791061862123,2036.8991644631253,0.03103726043007171,73.70551685181697,2165.5802329036883,1862.1947670963118,0.015403794098467365
62,2016-06-10,240.222,247.54,4.9,49.09,17.03,111.1027,1239.88,67.6,2096.07,2109.57,2109.57,2089.96,1.64,0.38,2016-06-10,2073.554,2024.203,2069.6599597053732,2039.2195893861401,0.011236117677708268,67.80710208317888,2170.472246168313,1876.2197538316866,0.015345390763130146
63,2016-06-17,240.222,247.54,4.9,48.0,19.41,111.5332,1273.59,75.1,2071.22,2078.2,2078.2,2062.84,1.64,0.38,2016-06-17,2075.916,2024.0918,2069.943603395305,2040.4745074494288,0.011535456143777933,58.99864185295298,2173.052368764514,1886.7376312354857,0.015476108832621472
64,2016-06-24,240.222,247.54,4.9,46.7,25.76,112.1355,1287.05,82.6,2037.41,2103.81,2103.81,2032.57,1.64,0.38,2016-06-24,2071.584,2023.3076,2064.0284027779767,2040.3543306867061,-0.02081961619239403,47.81782320243862,2162.3351062128913,1913.190893787108,0.014038435932647881
65,2016-07-01,240.101,247.829,4.8,49.02,14.77,111.6509,1313.88,77.9,2102.95,2099.34,2108.71,2097.9,1.5,0.39,2016-07-01,2072.721,2022.8338,2071.1050568183446,2042.8090628166394,0.005436081813748439,60.13000755857894,2147.2219998017904,1952.1210001982095,0.015044031074362198
66,2016-07-08,240.101,247.829,4.8,45.37,13.2,112.3963,1335.97,74.3,2129.9,2106.97,2131.71,2106.97,1.5,0.39,2016-07-08,2079.1809999999996,2023.8388,2081.7950464877363,2046.2243936865752,0.03127874885004589,58.901078351929165,2142.3467580113074,1978.208241988693,0.014208747782459093
67,2016-07-15,240.101,247.829,4.8,45.93,12.67,112.2833,1355.69,72.3,2161.74,2165.13,2169.05,2155.79,1.5,0.39,2016-07-15,2089.641,2024.9968,2096.330492580875,2050.7544174635723,0.05084729284346223,67.42489008304835,2146.9251920839242,1994.998807916076,0.014177688877869913
68,2016-07-22,240.101,247.829,4.8,43.41,12.02,112.989,1327.57,74.8,2175.03,2166.47,2175.11,2163.24,1.5,0.39,2016-07-22,2102.483,2026.9460000000001,2110.639493929807,2055.627969719903,0.06274766565198076,65.324362974519,2161.3687350997525,1998.0592649002474,0.01326444686170639
69,2016-07-29,240.101,247.829,4.8,41.54,11.87,111.874,1320.71,69.9,2173.6,2168.83,2177.09,2163.49,1.5,0.39,2016-07-29,2114.611,2028.5872,2122.086858669842,2060.254323848534,0.05909409838621649,63.74974854154091,2174.3778267067137,2000.191173293286,0.013207017339839556
70,2016-08-05,240.545,248.423,4.9,41.83,11.39,112.3589,1349.09,64.1,2182.87,2168.79,2182.87,2168.79,1.56,0.4,2016-08-05,2122.992,2032.8267999999998,2133.1383389116886,2065.0627817368268,0.03992739607252771,70.90133333333321,2188.935506720416,1998.962493279584,0.013004365928862349
71,2016-08-12,240.545,248.423,4.9,44.47,11.55,111.1787,1339.5,66.6,2184.05,2183.74,2186.28,2179.42,1.56,0.4,2016-08-12,2131.484,2036.7304000000001,2142.3950045641086,2069.728947158912,0.04045485510663949,73.13596091442737,2200.3099824895376,2002.3990175104625,0.012814497283600701
72,2016-08-19,240.545,248.423,4.9,48.48,11.34,110.8163,1353.43,64.4,2183.87,2184.24,2185.0,2175.13,1.56,0.4,2016-08-19,2140.264,2041.9834,2149.93591282518,2074.2050668781703,0.04188791404867187,76.00409214913599,2211.4260819380374,2002.3919180619625,0.012368818130857483
73,2016-08-26,240.545,248.423,4.9,47.64,13.65,111.2035,1345.42,64.8,2169.04,2175.1,2187.94,2160.39,1.56,0.4,2016-08-26,2150.046,2046.1431999999998,2153.4093832206017,2077.9240838633405,0.04722820366740388,71.3741576325812,2217.0998258218788,2008.8621741781217,0.012085427080596674
74,2016-09-02,241.176,248.842,5.0,44.39,11.98,112.0009,1334.07,71.2,2179.98,2177.49,2184.87,2173.59,1.63,0.4,2016-09-02,2164.303,2050.5822,2158.2404044532195,2081.9262766530132,0.0699760971036758,67.0544596189512,2225.009321225717,2010.8776787742827,0.011694195708908032
75,2016-09-09,241.176,248.842,5.0,45.88,17.5,111.9879,1318.55,66.5,2127.81,2169.08,2169.08,2127.81,1.63,0.4,2016-09-09,2166.789,2054.5116,2152.7076036435433,2083.725638352895,0.011821488860885854,54.95610700214276,2226.166674171589,2013.3433258284113,0.013060792668483541
76,2016-09-16,241.176,248.842,5.0,43.04,15.37,113.1765,1333.94,69.1,2139.16,2146.48,2146.48,2131.2,1.63,0.4,2016-09-16,2167.715,2058.2676,2150.244402981081,2085.899534888076,0.004347621954082337,57.238853610187064,2226.9903157025815,2019.9056842974185,0.012694853893404433
77,2016-09-23,241.176,248.842,5.0,44.36,12.29,112.7166,1311.22,69.2,2164.69,2173.29,2173.75,2163.97,1.63,0.4,2016-09-23,2168.0099999999998,2061.2635999999998,2152.870875166339,2088.9893570493277,0.0013646414462424872,65.66658844825852,2228.9839055857224,2028.6670944142772,0.01281024501437642
78,2016-09-30,241.176,248.842,5.0,47.72,13.29,112.2795,1339.71,59.8,2168.27,2156.51,2175.3,2156.51,1.63,0.4,2016-09-30,2167.334,2063.9668,2155.670716045186,2092.0984018709228,-0.003108003108003188,74.4068934646373,2228.612431114528,2041.2045688854719,0.012683549812980005
